source_id,provider,product_number,catalogue_object_id,product_title,displayed_filename,catalogue_date,source_url_or_stable_id,access_date_utc,access_method,access_class,price_displayed,raw_filename,raw_sha256,raw_bytes,raw_storage_class,archive_symbol,revision_status,provenance_status,notes
P3184-2020-01,Borsa Istanbul,3184,NA,"2000 Yilindan Itibaren Endekslerde Bulunan Sirketler (BIST 30, BIST 50 ve BIST 100 icin)",api_product-type_3184_products_page1_2026-08-24.json,NA,https://datastore.borsaistanbul.com/api/product-type/3184/products?page=1&page-size=20,2026-08-24T19:52:00Z,FIRST_PARTY_CATALOGUE_API_ANONYMOUS_HTTP_GET,PUBLIC_ANONYMOUS,NA,api_product-type_3184_products_page1_2026-08-24.json,3e0d800de35a7ed19b3056401d5f08e32e80c6397da7c9739762f4621099d3b3,12617,PRIVATE_LOCAL_RAW,PRIVATE_LOCAL_RAW:bist-membership/raw/p3184-2020/api_product-type_3184_products_page1_2026-08-24.json,CATALOGUE_METADATA_SNAPSHOT,ACQUIRED,"Catalogue metadata only; contains no membership row, ticker, company name, or index code. Byte-identical to the 2026-08-23 snapshot recorded in bist_membership_source_manifest.csv, so the Product 3184 catalogue did not drift between the two access dates."
P3184-2020-02,Borsa Istanbul,3184,NA,"2000 Yilindan Itibaren Endekslerde Bulunan Sirketler (BIST 30, BIST 50 ve BIST 100 icin)",api_product-type_3184_products_page2_2026-08-24.json,NA,https://datastore.borsaistanbul.com/api/product-type/3184/products?page=2&page-size=20,2026-08-24T19:52:00Z,FIRST_PARTY_CATALOGUE_API_ANONYMOUS_HTTP_GET,PUBLIC_ANONYMOUS,NA,api_product-type_3184_products_page2_2026-08-24.json,90aad7a3c0533d0b64482ef31ba15367dc46087a7f8c572b33b575bbf2bd87e6,12629,PRIVATE_LOCAL_RAW,PRIVATE_LOCAL_RAW:bist-membership/raw/p3184-2020/api_product-type_3184_products_page2_2026-08-24.json,CATALOGUE_METADATA_SNAPSHOT,ACQUIRED,"Catalogue metadata only; contains no membership row, ticker, company name, or index code. Byte-identical to the 2026-08-23 snapshot recorded in bist_membership_source_manifest.csv, so the Product 3184 catalogue did not drift between the two access dates."
P3184-2020-03,Borsa Istanbul,3184,NA,"2000 Yilindan Itibaren Endekslerde Bulunan Sirketler (BIST 30, BIST 50 ve BIST 100 icin)",api_product-type_3184_products_page3_2026-08-24.json,NA,https://datastore.borsaistanbul.com/api/product-type/3184/products?page=3&page-size=20,2026-08-24T19:52:00Z,FIRST_PARTY_CATALOGUE_API_ANONYMOUS_HTTP_GET,PUBLIC_ANONYMOUS,NA,api_product-type_3184_products_page3_2026-08-24.json,1d1f27a8549af8fab70222da193b1adba6d57efece9004adeccdfeb9983d6532,12588,PRIVATE_LOCAL_RAW,PRIVATE_LOCAL_RAW:bist-membership/raw/p3184-2020/api_product-type_3184_products_page3_2026-08-24.json,CATALOGUE_METADATA_SNAPSHOT,ACQUIRED,"Catalogue metadata only; contains no membership row, ticker, company name, or index code. Byte-identical to the 2026-08-23 snapshot recorded in bist_membership_source_manifest.csv, so the Product 3184 catalogue did not drift between the two access dates."
P3184-2020-04,Borsa Istanbul,3184,NA,"2000 Yilindan Itibaren Endekslerde Bulunan Sirketler (BIST 30, BIST 50 ve BIST 100 icin)",api_product-type_3184_products_page4_2026-08-24.json,NA,https://datastore.borsaistanbul.com/api/product-type/3184/products?page=4&page-size=20,2026-08-24T19:52:00Z,FIRST_PARTY_CATALOGUE_API_ANONYMOUS_HTTP_GET,PUBLIC_ANONYMOUS,NA,api_product-type_3184_products_page4_2026-08-24.json,813ad7919d0414a83905b076dd7382608e8a00afef54fa21699b4043146754dc,3763,PRIVATE_LOCAL_RAW,PRIVATE_LOCAL_RAW:bist-membership/raw/p3184-2020/api_product-type_3184_products_page4_2026-08-24.json,CATALOGUE_METADATA_SNAPSHOT,ACQUIRED,"Catalogue metadata only; contains no membership row, ticker, company name, or index code. Byte-identical to the 2026-08-23 snapshot recorded in bist_membership_source_manifest.csv, so the Product 3184 catalogue did not drift between the two access dates."
P3184-2020-05,Borsa Istanbul,3184,3184#1132521,"2000 Yilindan Itibaren Endekslerde Bulunan Sirketler (BIST 30, BIST 50 ve BIST 100 icin)",exsrk2020.zip,01-10-2020,https://datastore.borsaistanbul.com/product-type/3184,2026-08-24T19:52:00Z,FIRST_PARTY_CATALOGUE_API_INVOKED_BY_PRODUCT_PAGE,DOWNLOAD_REQUIRES_ACCOUNT_AND_REGISTRATION_AGREEMENT,0.0 TRY,NA,NA,NA,NOT_ACQUIRED,NA,REVISION_SEMANTICS_UNRESOLVED,VISIBLE_NOT_ACQUIRED,"Catalogue order 25 of 66 within Product 3184 (2020 objects occupy positions 25-31, sorted newest publication first). period=Q; accessType=G; dateFormat=yyyy; provider 'date' field 30-12-2020 (identical for all seven 2020 objects, therefore a nominal year-end label and not an effective date); provider-declared fileSize 58631 bytes, unverified because the object was not downloaded. No revision, version, supersession, replacement, or language field is present anywhere in the catalogue record. Corresponds to prior manifest row BM-031. Shares publication date 01-10-2020 with catalogue object 1132519 at a different declared byte size; the catalogue supplies nothing that distinguishes the two."
P3184-2020-06,Borsa Istanbul,3184,3184#1132519,"2000 Yilindan Itibaren Endekslerde Bulunan Sirketler (BIST 30, BIST 50 ve BIST 100 icin)",exsrk2020.zip,01-10-2020,https://datastore.borsaistanbul.com/product-type/3184,2026-08-24T19:52:00Z,FIRST_PARTY_CATALOGUE_API_INVOKED_BY_PRODUCT_PAGE,DOWNLOAD_REQUIRES_ACCOUNT_AND_REGISTRATION_AGREEMENT,0.0 TRY,NA,NA,NA,NOT_ACQUIRED,NA,REVISION_SEMANTICS_UNRESOLVED,VISIBLE_NOT_ACQUIRED,"Catalogue order 26 of 66 within Product 3184 (2020 objects occupy positions 25-31, sorted newest publication first). period=Q; accessType=G; dateFormat=yyyy; provider 'date' field 30-12-2020 (identical for all seven 2020 objects, therefore a nominal year-end label and not an effective date); provider-declared fileSize 58823 bytes, unverified because the object was not downloaded. No revision, version, supersession, replacement, or language field is present anywhere in the catalogue record. Corresponds to prior manifest row BM-032. Shares publication date 01-10-2020 with catalogue object 1132521 at a different declared byte size; the catalogue supplies nothing that distinguishes the two."
P3184-2020-07,Borsa Istanbul,3184,3184#1068011,"2000 Yilindan Itibaren Endekslerde Bulunan Sirketler (BIST 30, BIST 50 ve BIST 100 icin)",exsrk2020.zip,28-07-2020,https://datastore.borsaistanbul.com/product-type/3184,2026-08-24T19:52:00Z,FIRST_PARTY_CATALOGUE_API_INVOKED_BY_PRODUCT_PAGE,DOWNLOAD_REQUIRES_ACCOUNT_AND_REGISTRATION_AGREEMENT,0.0 TRY,NA,NA,NA,NOT_ACQUIRED,NA,REVISION_SEMANTICS_UNRESOLVED,VISIBLE_NOT_ACQUIRED,"Catalogue order 27 of 66 within Product 3184 (2020 objects occupy positions 25-31, sorted newest publication first). period=Q; accessType=G; dateFormat=yyyy; provider 'date' field 30-12-2020 (identical for all seven 2020 objects, therefore a nominal year-end label and not an effective date); provider-declared fileSize 59259 bytes, unverified because the object was not downloaded. No revision, version, supersession, replacement, or language field is present anywhere in the catalogue record. Corresponds to prior manifest row BM-033."
P3184-2020-08,Borsa Istanbul,3184,3184#1006269,"2000 Yilindan Itibaren Endekslerde Bulunan Sirketler (BIST 30, BIST 50 ve BIST 100 icin)",exsrk2020.zip,22-05-2020,https://datastore.borsaistanbul.com/product-type/3184,2026-08-24T19:52:00Z,FIRST_PARTY_CATALOGUE_API_INVOKED_BY_PRODUCT_PAGE,DOWNLOAD_REQUIRES_ACCOUNT_AND_REGISTRATION_AGREEMENT,0.0 TRY,NA,NA,NA,NOT_ACQUIRED,NA,REVISION_SEMANTICS_UNRESOLVED,VISIBLE_NOT_ACQUIRED,"Catalogue order 28 of 66 within Product 3184 (2020 objects occupy positions 25-31, sorted newest publication first). period=Q; accessType=G; dateFormat=yyyy; provider 'date' field 30-12-2020 (identical for all seven 2020 objects, therefore a nominal year-end label and not an effective date); provider-declared fileSize 57733 bytes, unverified because the object was not downloaded. No revision, version, supersession, replacement, or language field is present anywhere in the catalogue record. Corresponds to prior manifest row BM-034."
P3184-2020-09,Borsa Istanbul,3184,3184#982927,"2000 Yilindan Itibaren Endekslerde Bulunan Sirketler (BIST 30, BIST 50 ve BIST 100 icin)",exsrk2020.zip,27-04-2020,https://datastore.borsaistanbul.com/product-type/3184,2026-08-24T19:52:00Z,FIRST_PARTY_CATALOGUE_API_INVOKED_BY_PRODUCT_PAGE,DOWNLOAD_REQUIRES_ACCOUNT_AND_REGISTRATION_AGREEMENT,0.0 TRY,NA,NA,NA,NOT_ACQUIRED,NA,REVISION_SEMANTICS_UNRESOLVED,VISIBLE_NOT_ACQUIRED,"Catalogue order 29 of 66 within Product 3184 (2020 objects occupy positions 25-31, sorted newest publication first). period=Q; accessType=G; dateFormat=yyyy; provider 'date' field 30-12-2020 (identical for all seven 2020 objects, therefore a nominal year-end label and not an effective date); provider-declared fileSize 55195 bytes, unverified because the object was not downloaded. No revision, version, supersession, replacement, or language field is present anywhere in the catalogue record. Corresponds to prior manifest row BM-035. Shares publication date 27-04-2020 with catalogue object 982925 at a different declared byte size; the catalogue supplies nothing that distinguishes the two."
P3184-2020-10,Borsa Istanbul,3184,3184#982925,"2000 Yilindan Itibaren Endekslerde Bulunan Sirketler (BIST 30, BIST 50 ve BIST 100 icin)",exsrk2020.zip,27-04-2020,https://datastore.borsaistanbul.com/product-type/3184,2026-08-24T19:52:00Z,FIRST_PARTY_CATALOGUE_API_INVOKED_BY_PRODUCT_PAGE,DOWNLOAD_REQUIRES_ACCOUNT_AND_REGISTRATION_AGREEMENT,0.0 TRY,NA,NA,NA,NOT_ACQUIRED,NA,REVISION_SEMANTICS_UNRESOLVED,VISIBLE_NOT_ACQUIRED,"Catalogue order 30 of 66 within Product 3184 (2020 objects occupy positions 25-31, sorted newest publication first). period=Q; accessType=G; dateFormat=yyyy; provider 'date' field 30-12-2020 (identical for all seven 2020 objects, therefore a nominal year-end label and not an effective date); provider-declared fileSize 56407 bytes, unverified because the object was not downloaded. No revision, version, supersession, replacement, or language field is present anywhere in the catalogue record. Corresponds to prior manifest row BM-036. Shares publication date 27-04-2020 with catalogue object 982927 at a different declared byte size; the catalogue supplies nothing that distinguishes the two."
