source_id,provider,product_or_document_id,source_title,source_url_or_stable_id,coverage_year,coverage_period,effective_date,access_date_utc,access_method,access_class,raw_filename,raw_sha256,raw_bytes,raw_storage_class,archive_symbol,record_type,ticker_or_share_code,company_name,index_code,membership_semantics,identity_status,provenance_status,notes
BM-001,Borsa Istanbul,DataStore file-format specification v1.4,DataStore Dosyalari Veri Bildirim ve Kabul Formatlari (s. 2.1.29),https://datastore.borsaistanbul.com/assets/files/DataStore_Veri_Bildirim_ve_Kabul_Formatlar%C4%B1.pdf,NA,NA,NA,2026-08-23T13:15:46Z,DIRECT_PUBLIC_ASSET_LINK_FROM_PRODUCT_PAGE,PUBLIC_ANONYMOUS,DataStore_Veri_Bildirim_ve_Kabul_Formatlari.pdf,ab76e9708e35684410c3f082b6f8bcd6cf6cecc539f76e587c559d771f9f00cc,1158945,PRIVATE_LOCAL_RAW,PRIVATE_LOCAL_RAW:bist-membership/raw/DataStore_Veri_Bildirim_ve_Kabul_Formatlari.pdf,FORMAT_DOCUMENTATION,NA,NA,XU030;XU050;XU100,QUARTER_COLUMN_Q1_Q4_NO_EFFECTIVE_DATE,NA,ACQUIRED,"Doc version 1.4 dated 15.06.2016; predates every 2017+ product object, so it is not established as current for those files. s.2.1.29 defines exsrk[YYYY].zip -> exsrk[YYYY].xls with fields Pay Kodu, Pay Adi, 1.-4.Ceyrek and states the indices nest and only the narrowest index of membership is written."
BM-002,Borsa Istanbul,3184,Product 3184 catalogue listing snapshot (api_product-type_3184.json),https://datastore.borsaistanbul.com/api/product-type/3184,NA,NA,NA,2026-08-23T13:18:00Z,FIRST_PARTY_CATALOGUE_API_INVOKED_BY_PRODUCT_PAGE,PUBLIC_ANONYMOUS,api_product-type_3184.json,739cd88e86aed1bc4454a966014f7dd09ac9c06c2af69246f63465d813e9c772,1736,PRIVATE_LOCAL_RAW,PRIVATE_LOCAL_RAW:bist-membership/raw/api_product-type_3184.json,CATALOG_SNAPSHOT,NA,NA,XU030;XU050;XU100,NA,NA,ACQUIRED,"Catalogue metadata only; contains no membership row, ticker, or company name."
BM-003,Borsa Istanbul,3184,Product 3184 catalogue listing snapshot (api_product-type_3184_products_page1.json),https://datastore.borsaistanbul.com/api/product-type/3184/products?page=1&page-size=20,NA,NA,NA,2026-08-23T13:18:00Z,FIRST_PARTY_CATALOGUE_API_INVOKED_BY_PRODUCT_PAGE,PUBLIC_ANONYMOUS,api_product-type_3184_products_page1.json,3e0d800de35a7ed19b3056401d5f08e32e80c6397da7c9739762f4621099d3b3,12617,PRIVATE_LOCAL_RAW,PRIVATE_LOCAL_RAW:bist-membership/raw/api_product-type_3184_products_page1.json,CATALOG_SNAPSHOT,NA,NA,XU030;XU050;XU100,NA,NA,ACQUIRED,"Catalogue metadata only; contains no membership row, ticker, or company name."
BM-004,Borsa Istanbul,3184,Product 3184 catalogue listing snapshot (api_product-type_3184_products_page2.json),https://datastore.borsaistanbul.com/api/product-type/3184/products?page=2&page-size=20,NA,NA,NA,2026-08-23T13:18:00Z,FIRST_PARTY_CATALOGUE_API_INVOKED_BY_PRODUCT_PAGE,PUBLIC_ANONYMOUS,api_product-type_3184_products_page2.json,90aad7a3c0533d0b64482ef31ba15367dc46087a7f8c572b33b575bbf2bd87e6,12629,PRIVATE_LOCAL_RAW,PRIVATE_LOCAL_RAW:bist-membership/raw/api_product-type_3184_products_page2.json,CATALOG_SNAPSHOT,NA,NA,XU030;XU050;XU100,NA,NA,ACQUIRED,"Catalogue metadata only; contains no membership row, ticker, or company name."
BM-005,Borsa Istanbul,3184,Product 3184 catalogue listing snapshot (api_product-type_3184_products_page3.json),https://datastore.borsaistanbul.com/api/product-type/3184/products?page=3&page-size=20,NA,NA,NA,2026-08-23T13:18:00Z,FIRST_PARTY_CATALOGUE_API_INVOKED_BY_PRODUCT_PAGE,PUBLIC_ANONYMOUS,api_product-type_3184_products_page3.json,1d1f27a8549af8fab70222da193b1adba6d57efece9004adeccdfeb9983d6532,12588,PRIVATE_LOCAL_RAW,PRIVATE_LOCAL_RAW:bist-membership/raw/api_product-type_3184_products_page3.json,CATALOG_SNAPSHOT,NA,NA,XU030;XU050;XU100,NA,NA,ACQUIRED,"Catalogue metadata only; contains no membership row, ticker, or company name."
BM-006,Borsa Istanbul,3184,Product 3184 catalogue listing snapshot (api_product-type_3184_products_page4.json),https://datastore.borsaistanbul.com/api/product-type/3184/products?page=4&page-size=20,NA,NA,NA,2026-08-23T13:18:00Z,FIRST_PARTY_CATALOGUE_API_INVOKED_BY_PRODUCT_PAGE,PUBLIC_ANONYMOUS,api_product-type_3184_products_page4.json,813ad7919d0414a83905b076dd7382608e8a00afef54fa21699b4043146754dc,3763,PRIVATE_LOCAL_RAW,PRIVATE_LOCAL_RAW:bist-membership/raw/api_product-type_3184_products_page4.json,CATALOG_SNAPSHOT,NA,NA,XU030;XU050;XU100,NA,NA,ACQUIRED,"Catalogue metadata only; contains no membership row, ticker, or company name."
BM-007,Borsa Istanbul,3184#6792466,"2000 Yilindan Itibaren Endekslerde Bulunan Sirketler (BIST 30, BIST 50 ve BIST 100 icin)",https://datastore.borsaistanbul.com/product-type/3184,2026,FULL_YEAR_AS_FOUR_QUARTER_COLUMNS,NA,2026-08-23T13:18:00Z,FIRST_PARTY_CATALOGUE_API_INVOKED_BY_PRODUCT_PAGE,DOWNLOAD_REQUIRES_ACCOUNT_AND_REGISTRATION_AGREEMENT,exsrk2026.zip,NA,158612,NOT_ACQUIRED,NA,CATALOG_ENTRY,NA,NA,XU030;XU050;XU100,QUARTER_COLUMN_Q1_Q4_NO_EFFECTIVE_DATE,NOT_ASSESSED,VISIBLE_NOT_ACQUIRED,period=Q; accessType=G; price=0.0 TRY; provider snapshot publication date 10-07-2026; provider 'date' field 30-12-2026; raw_bytes is provider-declared and unverified (file not downloaded).
BM-008,Borsa Istanbul,3184#6584813,"2000 Yilindan Itibaren Endekslerde Bulunan Sirketler (BIST 30, BIST 50 ve BIST 100 icin)",https://datastore.borsaistanbul.com/product-type/3184,2026,FULL_YEAR_AS_FOUR_QUARTER_COLUMNS,NA,2026-08-23T13:18:00Z,FIRST_PARTY_CATALOGUE_API_INVOKED_BY_PRODUCT_PAGE,DOWNLOAD_REQUIRES_ACCOUNT_AND_REGISTRATION_AGREEMENT,exsrk2026.zip,NA,156759,NOT_ACQUIRED,NA,CATALOG_ENTRY,NA,NA,XU030;XU050;XU100,QUARTER_COLUMN_Q1_Q4_NO_EFFECTIVE_DATE,NOT_ASSESSED,VISIBLE_NOT_ACQUIRED,period=Q; accessType=G; price=0.0 TRY; provider snapshot publication date 01-04-2026; provider 'date' field 30-12-2026; raw_bytes is provider-declared and unverified (file not downloaded).
BM-009,Borsa Istanbul,3184#6394449,"2000 Yilindan Itibaren Endekslerde Bulunan Sirketler (BIST 30, BIST 50 ve BIST 100 icin)",https://datastore.borsaistanbul.com/product-type/3184,2026,FULL_YEAR_AS_FOUR_QUARTER_COLUMNS,NA,2026-08-23T13:18:00Z,FIRST_PARTY_CATALOGUE_API_INVOKED_BY_PRODUCT_PAGE,DOWNLOAD_REQUIRES_ACCOUNT_AND_REGISTRATION_AGREEMENT,exsrk2026.zip,NA,67319,NOT_ACQUIRED,NA,CATALOG_ENTRY,NA,NA,XU030;XU050;XU100,QUARTER_COLUMN_Q1_Q4_NO_EFFECTIVE_DATE,NOT_ASSESSED,VISIBLE_NOT_ACQUIRED,period=Q; accessType=G; price=0.0 TRY; provider snapshot publication date 02-01-2026; provider 'date' field 30-12-2026; raw_bytes is provider-declared and unverified (file not downloaded).
BM-010,Borsa Istanbul,3184#6201518,"2000 Yilindan Itibaren Endekslerde Bulunan Sirketler (BIST 30, BIST 50 ve BIST 100 icin)",https://datastore.borsaistanbul.com/product-type/3184,2025,FULL_YEAR_AS_FOUR_QUARTER_COLUMNS,NA,2026-08-23T13:18:00Z,FIRST_PARTY_CATALOGUE_API_INVOKED_BY_PRODUCT_PAGE,DOWNLOAD_REQUIRES_ACCOUNT_AND_REGISTRATION_AGREEMENT,exsrk2025.zip,NA,69096,NOT_ACQUIRED,NA,CATALOG_ENTRY,NA,NA,XU030;XU050;XU100,QUARTER_COLUMN_Q1_Q4_NO_EFFECTIVE_DATE,NOT_ASSESSED,VISIBLE_NOT_ACQUIRED,period=Q; accessType=G; price=0.0 TRY; provider snapshot publication date 01-10-2025; provider 'date' field 30-12-2025; raw_bytes is provider-declared and unverified (file not downloaded).
